,timestamp,sog,cog
337,1657864966.6241636,,
338,1657864967.3530366,7.1,321.8
339,1657864967.622713,,
340,1657864968.3541598,7.1,321.5
341,1657864968.623862,,
342,1657864969.3577693,7.1,321.4
343,1657864969.6274426,,
344,1657864970.3539927,7.1,320.9
345,1657864970.6238513,,
346,1657864971.3588166,7.1,320.6
347,1657864971.6285203,,
348,1657864972.353287,7.0,320.3
349,1657864972.6230004,,
350,1657864973.3545918,7.0,320.2
351,1657864973.6243703,,
352,1657864974.3528793,7.0,320.4
353,1657864974.6227095,,
354,1657864975.3543985,7.0,320.5
355,1657864975.6241395,,
356,1657864976.35417,7.1,321.2
357,1657864976.623904,,
358,1657864977.3574445,7.1,321.5
359,1657864977.6272943,,
360,1657864978.3542902,7.1,321.7
361,1657864978.6240122,,
362,1657864979.353039,7.1,321.6
363,1657864979.6228764,,
364,1657864980.359023,7.1,321.5
365,1657864980.6286354,,
366,1657864981.3570898,7.0,321.8
367,1657864981.6268349,,
368,1657864982.3580647,7.0,322.3
369,1657864982.6277823,,
370,1657864983.354056,7.1,322.9
371,1657864983.6236632,,
372,1657864984.3575473,7.1,323.7
373,1657864984.6273742,,
374,1657864985.3545134,7.0,324.8
375,1657864985.6242497,,
376,1657864986.3541112,7.0,325.1
377,1657864986.62384,,
378,1657864987.3542445,7.0,325.7
379,1657864987.6239772,,
380,1657864988.3571866,7.1,326.5
381,1657864988.6269603,,
382,1657864989.354282,7.0,326.6
383,1657864989.6239493,,
384,1657864990.3571858,7.1,327.3
385,1657864990.6270764,,
386,1657864991.3543768,7.0,327.8
387,1657864991.6240535,,
388,1657864992.354207,7.1,328.4
389,1657864992.6238742,,
390,1657864993.3544724,7.0,328.8
391,1657864993.624242,,
392,1657864994.3579774,7.1,329.3
393,1657864994.627831,,
394,1657864995.3559911,7.1,329.6
395,1657864995.6256266,,
396,1657864996.355058,7.1,329.6
397,1657864996.624733,,
398,1657864997.355912,7.1,329.6
399,1657864997.6256723,,
400,1657864998.354272,7.1,329.6
401,1657864998.6239834,,
402,1657864999.357213,7.1,329.9
403,1657864999.6269152,,
404,1657865000.3544111,7.1,330.1
405,1657865000.624207,,
406,1657865001.357297,7.1,330.0
407,1657865001.6269407,,
408,1657865002.3539193,7.1,330.1
409,1657865002.6235182,,
410,1657865003.3571887,7.1,330.3
411,1657865003.6268752,,
412,1657865004.3536155,7.1,330.3
413,1657865004.6232805,,
414,1657865005.3571236,7.1,330.0
415,1657865005.6270297,,
416,1657865006.354504,7.1,329.8
417,1657865006.6244364,,
418,1657865007.3575518,7.1,330.3
419,1657865007.6271892,,
420,1657865008.359147,7.1,330.4
421,1657865008.6288333,,
422,1657865009.3571298,7.0,330.2
423,1657865009.6269424,,
424,1657865010.3571033,7.1,330.7
425,1657865010.6268969,,
426,1657865011.3571267,7.1,331.3
427,1657865011.6269076,,
428,1657865012.3557098,7.0,331.1
429,1657865012.6254916,,
430,1657865013.3543818,7.1,330.8
431,1657865013.6240335,,
432,1657865014.3559775,7.1,330.9
433,1657865014.62573,,
434,1657865015.3545501,7.1,330.8
435,1657865015.624163,,
436,1657865016.3564897,7.0,330.4
437,1657865016.6262085,,
438,1657865017.3545945,7.0,330.2
439,1657865017.6243417,,
440,1657865018.3592298,7.1,330.5
441,1657865018.6289265,,
442,1657865019.3572533,7.1,330.5
443,1657865019.6268342,,
444,1657865020.354402,7.0,330.1
445,1657865020.624194,,
446,1657865021.355759,7.1,329.7
447,1657865021.625616,,
448,1657865022.3592212,7.1,329.8
449,1657865022.6288764,,
450,1657865023.354553,7.1,329.5
451,1657865023.6244268,,
452,1657865024.3565695,7.1,329.2
453,1657865024.6262832,,
454,1657865025.3557456,7.1,328.5
455,1657865025.6255748,,
456,1657865026.3534002,7.1,328.1
457,1657865026.6230795,,
458,1657865027.359336,7.1,327.9
459,1657865027.6289608,,
460,1657865028.3540401,7.1,327.3
461,1657865028.623691,,
462,1657865029.356582,7.1,327.4
463,1657865029.6262646,,
464,1657865030.354308,7.1,327.3
465,1657865030.6239018,,
466,1657865031.3543441,7.0,327.4
467,1657865031.6239974,,
468,1657865032.3544617,7.1,327.3
469,1657865032.6240401,,
470,1657865033.3549564,7.1,327.1
471,1657865033.624642,,
472,1657865034.3543067,7.1,327.0
473,1657865034.6241176,,
474,1657865035.35432,7.1,326.6
475,1657865035.623991,,
476,1657865036.3592315,7.0,326.3
477,1657865036.628835,,
478,1657865037.354539,7.0,326.3
479,1657865037.624421,,
480,1657865038.3572664,7.0,326.2
481,1657865038.6271458,,
482,1657865039.3534327,7.0,326.3
483,1657865039.6232576,,
484,1657865040.3571713,7.0,326.6
485,1657865040.6270099,,
486,1657865041.3563972,7.0,326.7
487,1657865041.6260514,,
488,1657865042.3544211,7.1,326.7
489,1657865042.6243699,,
490,1657865043.3572295,7.1,327.1
491,1657865043.6271837,,
492,1657865044.3555973,7.1,327.3
493,1657865044.6254733,,
494,1657865045.3546925,7.1,327.6
495,1657865045.6245449,,
496,1657865046.3543708,7.1,327.7
497,1657865046.6241584,,
498,1657865047.3542683,7.1,327.9
499,1657865047.6241271,,
500,1657865048.3545022,7.0,328.1
501,1657865048.6241765,,
502,1657865049.3543718,7.1,328.3
503,1657865049.624097,,
504,1657865050.3543396,7.0,328.3
505,1657865050.6241484,,
506,1657865051.3559048,7.0,328.6
507,1657865051.6255841,,
508,1657865052.354512,7.0,329.1
509,1657865052.6242507,,
510,1657865053.3539941,7.1,329.6
511,1657865053.6237082,,
512,1657865054.35468,7.1,329.9
513,1657865054.6243913,,
514,1657865055.3544781,7.1,330.4
515,1657865055.6241422,,
516,1657865056.3572044,7.1,330.3
517,1657865056.627025,,
518,1657865057.3545709,7.1,330.4
519,1657865057.6243062,,
520,1657865058.3572094,7.1,330.3
521,1657865058.6269586,,
522,1657865059.3543434,7.1,330.2
523,1657865059.6241012,,
524,1657865060.3571405,7.1,330.0
525,1657865060.626805,,
526,1657865061.3547294,7.1,330.2
527,1657865061.624543,,
528,1657865062.3571267,7.1,330.0
529,1657865062.6268754,,
530,1657865063.3528166,7.1,329.7
531,1657865063.6226466,,
532,1657865064.357224,7.1,329.5
533,1657865064.6268764,,
534,1657865065.3562202,7.1,329.4
535,1657865065.6260746,,
536,1657865066.3568184,7.1,329.2
537,1657865066.6265852,,
538,1657865067.3590703,7.1,328.9
539,1657865067.6289802,,
540,1657865068.352955,7.1,328.5
541,1657865068.6228886,,
542,1657865069.3547294,7.1,328.4
543,1657865069.6246512,,
544,1657865070.354353,7.1,328.0
545,1657865070.624257,,
546,1657865071.3558526,7.1,327.9
547,1657865071.6256223,,
548,1657865072.3570883,7.1,327.9
549,1657865072.6268177,,
550,1657865073.353041,7.1,327.7
551,1657865073.6228127,,
552,1657865074.3544662,7.1,327.5
553,1657865074.6243486,,
554,1657865075.3571992,7.1,327.3
555,1657865075.627176,,
556,1657865076.353799,7.1,327.0
557,1657865076.6236575,,
558,1657865077.3573565,7.1,326.9
559,1657865077.627098,,
560,1657865078.352949,7.1,326.6
561,1657865078.6228244,,
562,1657865079.3570879,7.1,326.7
563,1657865079.626936,,
564,1657865080.3556259,7.1,326.6
565,1657865080.6254718,,
566,1657865081.3545222,7.1,326.5
567,1657865081.6241987,,
568,1657865082.3575902,7.1,326.5
569,1657865082.6273098,,
570,1657865083.353014,7.1,326.5
571,1657865083.622766,,
572,1657865084.3566322,7.1,326.4
573,1657865084.6264832,,
574,1657865085.359088,7.1,326.2
575,1657865085.6288438,,
576,1657865086.3534184,7.1,325.9
577,1657865086.6231952,,
578,1657865087.3593178,7.1,325.8
579,1657865087.6290438,,
580,1657865088.353667,7.1,326.0
581,1657865088.6235766,,
582,1657865089.3583553,7.1,326.2
583,1657865089.6281266,,
584,1657865090.3544366,7.1,326.4
585,1657865090.6244006,,
586,1657865091.3542156,7.1,326.7
587,1657865091.6240425,,
588,1657865092.3572445,7.1,327.3
589,1657865092.6271603,,
590,1657865093.3594697,7.1,327.6
591,1657865093.6294897,,
592,1657865094.353405,7.1,328.1
593,1657865094.6233773,,
594,1657865095.358782,7.1,328.4
595,1657865095.6285791,,
596,1657865096.354434,7.1,328.8
597,1657865096.6241949,,
598,1657865097.3547134,7.1,329.4
599,1657865097.6244886,,
600,1657865098.35844,7.1,329.8
601,1657865098.6283743,,
602,1657865099.3594632,7.1,330.1
603,1657865099.6293423,,
604,1657865100.354993,7.2,330.8
605,1657865100.6248155,,
606,1657865101.3574533,7.2,330.9
607,1657865101.6269314,,
608,1657865102.3569891,7.2,330.9
609,1657865102.6268232,,
610,1657865103.3530648,7.2,330.9
611,1657865103.622957,,
612,1657865104.357155,7.2,331.0
613,1657865104.6270914,,
614,1657865105.3533983,7.2,330.8
615,1657865105.6234236,,
616,1657865106.3590531,7.2,330.8
617,1657865106.6290843,,
618,1657865107.355937,7.2,330.5
619,1657865107.6258917,,
620,1657865108.359355,7.2,330.3
621,1657865108.6293154,,
622,1657865109.3561575,7.2,329.7
623,1657865109.6261547,,
624,1657865110.3582032,7.2,329.3
625,1657865110.6281362,,
626,1657865111.359235,7.2,329.0
627,1657865111.6291258,,
628,1657865112.3591874,7.2,328.9
629,1657865112.6290724,,
630,1657865113.3540277,7.1,328.6
631,1657865113.623878,,
632,1657865114.359429,7.1,328.5
633,1657865114.6294274,,
634,1657865115.3547258,7.1,328.4
635,1657865115.6246252,,
636,1657865116.3545287,7.1,328.2
637,1657865116.624376,,
638,1657865117.3544986,7.1,328.0
639,1657865117.6244984,,
640,1657865118.3558435,7.1,327.9
641,1657865118.6256828,,
642,1657865119.3544188,7.1,327.8
643,1657865119.62434,,
644,1657865120.3532379,7.1,327.7
645,1657865120.6232677,,
646,1657865121.3594987,7.1,327.7
647,1657865121.629295,,
648,1657865122.3593316,7.1,327.8
649,1657865122.6292298,,
650,1657865123.3596199,7.1,328.0
651,1657865123.629403,,
652,1657865124.359336,7.1,328.2
653,1657865124.6293275,,
654,1657865125.3579612,7.1,328.0
655,1657865125.6279788,,
656,1657865126.3545167,7.1,328.4
657,1657865126.6245518,,
658,1657865127.3590686,7.1,328.5
659,1657865127.6290767,,
660,1657865128.3549037,7.2,328.5
661,1657865128.6248894,,
662,1657865129.3589997,7.2,328.5
663,1657865129.6288855,,
664,1657865130.3583405,7.2,328.8
665,1657865130.6283073,,
666,1657865131.3564267,7.2,328.8
667,1657865131.6266813,,
668,1657865132.3589332,7.1,328.6
669,1657865132.6289506,,
670,1657865133.3545876,7.1,328.8
671,1657865133.6247017,,
672,1657865134.3581886,7.2,329.4
673,1657865134.6283996,,
674,1657865135.3577273,7.2,329.4
675,1657865135.627916,,
676,1657865136.3582423,7.1,329.4
677,1657865136.6283543,,
678,1657865137.3590512,7.2,329.8
679,1657865137.6292,,
680,1657865138.359169,7.2,330.0
681,1657865138.6291137,,
682,1657865139.3569477,7.2,330.1
683,1657865139.6271114,,
684,1657865140.359627,7.2,330.3
685,1657865140.6297376,,
686,1657865141.3585742,7.2,330.5
687,1657865141.628586,,
688,1657865142.3591347,7.2,330.7
689,1657865142.629081,,
690,1657865143.3591607,7.2,330.8
691,1657865143.6291785,,
692,1657865144.3592646,7.2,330.7
693,1657865144.6293166,,
694,1657865145.3582935,7.2,330.6
695,1657865145.62834,,
696,1657865146.3560355,7.2,330.3
697,1657865146.6260679,,
